old, new
Parnassia pusilla, Parnassia spp
Festuca forrestii, Festuca spp
Galium hoffmeisteri, Galium spp
Gentianopsis paludosa, Swertia macrosperma 
Swertia spp, Swertia macrosperma 
Pseudostellaria davidii, Swertia macrosperma
Stellaria media, Stellaria uliginosa
Youngia japonica, Youngia racemifera 
Poa pratensis, Poa spp
Sibbaldia procumbens, Sibbaldia pentaphylla
Anaphalis lactea, Anaphalis flavescens
Halenia corniculata, Halenia elliptica
Maianthemum japonicum, Maianthemum henryi
