oldCode,newCode,keep,fullName,Family,functionalGroup
Aca.nep,Aca.nep,,Acanthocalyx nepalensis (D. Don) M. J. Cannon,Dipsacaceae,forb
Agr.ner,Agr.ner,,Agrostis nervosa Nees ex Trinius,Poaceae,gramineae
Aju.dec,Aju.dec,,Ajuga decumbens Thunb.,Labiatae,forb
Ale.pau,Ale.pau,,Aletris pauciflora (Klotzsch) Handel-Mazzetti,Liliaceae,forb
All.pra,All.pra,,Allium prattii C. H. Wright ex Hemsley,Liliaceae,forb
All.sik,All.sik,0,Allium sikkimense,Liliaceae,forb
Ana.dem,Ane.dem,0,Anemone demissa J. D. Hooker & Thomson,Ranunculaceae,forb
Ana.fla,Ana.fla,,Anaphalis flavescens Handel-Mazzetti,Asteraceae,forb
Ana.lac,Ana.lac,,Anaphalis lactea Maximowicz,Asteraceae,forb
Ana.nep,Ana.lac,0,Anaphalis lactea Maximowicz,Asteraceae,forb
And.min,And.min,,Androsace minor (Handel-Mazzetti) C. M. Hu & Y. C. Yang,Primulaceae,forb
Ane.dem,Ane.dem,,Anemone demissa J. D. Hooker & Thomson,Ranunculaceae,forb
Ari.par,Ari.par,,Arisaema parvum N. E. Brown,Araceae,forb
Art.fla,Art.fla,,Artemisia flaccida Handel-Mazzetti,Asteraceae,forb
Ast.ast,Ast.ast,,Aster asteroides (Candolle) Kuntze,Asteraceae,forb
Ast.var,Ast.ast,0,Aster asteroides (Candolle) Kuntze,Asteraceae,forb
Berberis,Berberis,,Berberis jamesiana,Berberidaceae,shrub
Ber.L,Berberis,0,Berberis jamesiana,Berberidaceae,shrub
Bro.sin,Poa.spp,0,Poa.spp,Poaceae,gramineae
Cal.pal,Cal.pal,,Caltha palustris Linnaeus,Ranunculaceae,forb
Car.hum,Car.hum,,Carpesium humile C. Winkler,Asteraceae,forb
Car.L,Car.spp,,Carex spp,Cyperaceae,sedge
Car.L.,Car.spp,0,Carex spp,Cyperaceae,sedge
Car.atr,Car.spp,0,Carex spp,Cyperaceae,sedge
Car.bla,Car.spp,0,Carex spp,Cyperaceae,sedge
Car.fin,Car.spp,0,Carex spp,Cyperaceae,sedge
Car.M,Car.spp,0,Carex spp,Cyperaceae,sedge
Car.nub,Car.nub,,Carex nubigena D. Don ex Tilloch & Taylor,Cyperaceae,sedge
Car.pal,Cal.pal,0,Caltha palustris Linnaeus,Ranunculaceae,forb
Car.rar,Car.spp,0,Carex spp,Cyperaceae,sedge
Cer.pyl,Ger.pyl,0,Geranium pylzowianum Maximowicz,Geraniaceae,forb
Cer.sze,Cer.sze,,Cerastium szechuense F. N. Williams,Caryophyllaceae,forb
Cha.par,Cha.vir,0,Chamaesium viridiflorum (Franchet) H. Wolff ex R. H. Shan,Umbelliferae,forb
Cha.tha,Cha.vir,0,Chamaesium viridiflorum (Franchet) H. Wolff ex R. H. Shan,Umbelliferae,forb
Cha.vir,Cha.vir,,Chamaesium viridiflorum (Franchet) H. Wolff ex R. H. Shan,Umbelliferae,forb
Cle.pse,Cle.pse,,Clematis pseudopogonandra,Ranunculaceae,forb
