Date,Site,Plot,Plot_Type,Elevation,Taxon_TNRS_corrected,Taxon_written_on_envelopes,Individual_Number,Leaf_Number,Leaf_Area_cm2,Wet_Mass_g,Wet_Mass_WeighingScale,Dry_Mass_g,Dry_Mass_WeighingScale,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Leaf_Thickness_4_mm,Leaf_Thickness_5_mm,Leaf_Thickness_6_mm,Leaf_Thickness_Ave_mm,SLA_cm2-g,LDMC,notes
20150823,M,M6OTC,warming,3500,Carpesium humile,Carpesium_humile,1,1,35.5737,0.82,2,0.1069,1,0.709,0.603,0.641,,,,,332.7754911,0.130365854,
20150823,M,M6OTC,warming,3500,Carpesium humile,Carpesium_humile,2,1,35.3999,0.758,2,0.0948,1,0.579,0.456,0.553,,,,,373.4166667,0.125065963,
20150823,M,M6OTC,warming,3500,Carpesium humile,Carpesium_humile,3,1,25.8953,0.6641,1,0.0776,1,0.374,0.512,0.504,,,,,333.7023196,0.116849872,
20150823,M,M6OTC,warming,3500,Carpesium humile,Carpesium_humile,4,1,19.7569,0.476,2,0.0578,1,0.602,0.449,0.684,,,,,341.8148789,0.121428571,
20150823,M,M2OTC,warming,3500,Epilobium fangii,Epilobium_fangii,1,1,1.3523,0.0111,1,0.0045,1,0.28,,,,,,,300.5111111,0.405405405,
20150823,M,M2OTC,warming,3500,Epilobium fangii,Epilobium_fangii,2,1,3.6683,0.0389,1,0.0163,1,0.295,,,,,,,225.0490798,0.419023136,
20150823,M,M2OTC,warming,3500,Epilobium fangii,Epilobium_fangii,3,1,2.6959,0.0289,1,0.0125,1,0.271,,,,,,,215.672,0.432525952,
20150823,M,M5OTC,warming,3500,Epilobium fangii,Epilobium_fangii,1,1,1.8768,0.015,1,0.0059,1,0.185,,,,,,,318.1016949,0.393333333,
20150823,M,M5OTC,warming,3500,Epilobium fangii,Epilobium_fangii,2,1,2.0656,0.0154,1,0.0063,1,0.234,,,,,,,327.8730159,0.409090909,
20150823,M,M5OTC,warming,3500,Epilobium fangii,Epilobium_fangii,3,1,2.5667,0.0164,1,0.0095,1,0.345,,,,,,,270.1789474,0.579268293,
20150823,M,M5OTC,warming,3500,Epilobium fangii,Epilobium_fangii,4,1,1.7444,0.0126,1,0.006,1,0.282,,,,,,,290.7333333,0.476190476,
20150823,M,M5OTC,warming,3500,Epilobium fangii,Epilobium_fangii,5,1,1.8928,0.0122,1,0.0058,1,0.236,,,,,,,326.3448276,0.475409836,
20150823,M,M6OTC,warming,3500,Epilobium fangii,Epilobium_fangii,1,1,3.5357,0.045,1,0.014,2,0.254,,,,,,,252.55,0.311111111,
20150823,M,M6OTC,warming,3500,Epilobium fangii,Epilobium_fangii,2,1,3.2793,0.0301,1,0.0105,2,0.385,,,,,,,312.3142857,0.348837209,
20150823,M,M6OTC,warming,3500,Epilobium fangii,Epilobium_fangii,3,1,6.1543,0.078,1,0.0208,2,0.288,,,,,,,295.8798077,0.266666667,
20150823,M,M6OTC,warming,3500,Epilobium fangii,Epilobium_fangii,4,1,5.2215,0.0521,1,0.0165,2,0.365,,,,,,,316.4545455,0.316698656,
20150820,M,M32,transplant.up,3500,Epilobium fangii,Epilobium_fangii,1,1,1.4828,0.017,2,0.0048,1,0.13,,,,,,,308.9166667,0.282352941,
20150820,M,M32,transplant.up,3500,Epilobium fangii,Epilobium_fangii,2,1,1.7636,0.017,1,0.0046,1,0.044,,,,,,,383.3913043,0.270588235,
20150820,M,M32,transplant.up,3500,Epilobium fangii,Epilobium_fangii,3,1,0.5788,0.008,1,0.0014,1,0.164,,,,,,,413.4285714,0.175,
20150820,M,M32,transplant.up,3500,Epilobium fangii,Epilobium_fangii,4,1,1.3275,0.011,1,0.0022,1,0.14,,,,,,,603.4090909,0.2,
20150820,M,M32,transplant.up,3500,Epilobium fangii,Epilobium_fangii,5,1,1.5388,0.018,1,0.0027,1,0.1,,,,,,,569.9259259,0.15,
20150820,M,M7C,control,3500,Fargesia sp1,Fargesia_sp1,1,1,3.315,0.0375,1,0.0191,1,0.204,,,,,,,173.5602094,0.509333333,
20150820,M,M7C,control,3500,Fargesia sp1,Fargesia_sp1,2,1,3.1077,0.0309,1,0.0162,1,0.18,,,,,,,191.8333333,0.524271845,
20150820,M,M7C,control,3500,Fargesia sp1,Fargesia_sp1,3,1,2.8933,0.0231,1,0.0167,1,0.156,,,,,,,173.251497,0.722943723,
20150820,M,M7C,control,3500,Fargesia sp1,Fargesia_sp1,4,1,3.3929,0.029,1,0.0123,1,0.16,0.189,0.249,,,,,275.8455285,0.424137931,
20150820,M,M7C,control,3500,Fargesia sp1,Fargesia_sp1,5,1,1.1191,0.0101,1,0.0059,1,0.153,,,,,,,189.6779661,0.584158416,
20150823,M,M6C,control,3500,Fargesia sp1,Fragesia_sp,1,1,4.5213,0.03,2,0.0156,1,0.169,,,,,,,289.8269231,0.52,
20150823,M,M6C,control,3500,Fargesia sp1,Fragesia_sp,2,1,2.8702,0.021,2,0.0098,1,0.147,,,,,,,292.877551,0.466666667,
20150823,M,M6C,control,3500,Fargesia sp1,Fragesia_sp,3,1,3.6546,0.028,2,0.0143,1,0.087,,,,,,,255.5664336,0.510714286,
20150823,M,M6C,control,3500,Fargesia sp1,Fragesia_sp,4,1,2.1014,0.016,2,0.0085,1,0.136,,,,,,,247.2235294,0.53125,
20150823,M,M6C,control,3500,Fargesia sp1,Fragesia_sp,5,1,2.8174,0.021,2,0.0092,1,0.2,,,,,,,306.2391304,0.438095238,
20150823,M,M2C,control,3500,Geranium pylzowianum,Geranium_polyzowianum,1,1,5.5084,0.09,2,0.0289,1,0.22,,,,,,,190.6020761,0.321111111,
20150823,M,M2C,control,3500,Geranium pylzowianum,Geranium_pylocowianum,2,1,6.0689,0.114,2,0.03,1,0.256,,,,,,,202.2966667,0.263157895,
20150823,M,M2C,control,3500,Geranium pylzowianum,Geranium_pylocowianum,3,1,8.2826,0.0555,1,0.0445,1,0.231,0.226,0.193,,,,,186.1258427,0.801801802,
20150823,M,M2C,control,3500,Geranium pylzowianum,Geranium_pylocowianum,4,1,3.9462,0.0646,1,0.0171,1,0.221,0.24,0.106,,,,,230.7719298,0.264705882,
20150823,M,M2C,control,3500,Geranium pylzowianum,Geranium_pylocowianum,5,1,4.9995,0.081,2,0.0212,1,0.052,0.063,,,,,,235.8254717,0.261728395,
20150823,M,M2C,control,3500,Iris ruthenica,Iris_ruthenica,1,1,23.1891,0.3602,1,0.1281,1,0.36,0.298,0.165,,,,,181.0234192,0.355635758,
20150823,M,M2C,control,3500,Iris ruthenica,Iris_ruthenica,2,1,17.7488,0.3333,1,0.1439,1,0.28,0.341,0.326,,,,,123.3412092,0.431743174,
20150823,M,M2C,control,3500,Iris ruthenica,Iris_ruthenica,3,1,11.9476,0.2231,1,0.0894,1,0.236,0.26,0.196,,,,,133.6420582,0.400717167,
20150823,M,M2C,control,3500,Iris ruthenica,Iris_ruthenica,4,1,17.2012,0.1927,1,0.0762,1,0.282,0.278,0.227,,,,,225.7375328,0.395433316,
20150823,M,M2C,control,3500,Iris ruthenica,Iris_ruthenica,5,1,15.9729,0.302,2,0.1278,1,0.191,0.185,,,,,,124.9835681,0.423178808,
20150823,M,M42,transplant.up,3500,Ligularia pleurocaulis,Ligularia_pleurocaulis,1,1,5.5855,0.0529,1,0.0219,1,0.201,,,,,,,255.0456621,0.413988658,
20150823,M,M42,transplant.up,3500,Ligularia pleurocaulis,Ligularia_pleurocaulis,2,1,6.2727,0.117,1,0.0303,1,0.191,0.215,0.188,,,,,207.019802,0.258974359,
20150823,M,M42,transplant.up,3500,Ligularia pleurocaulis,Ligularia_pleurocaulis,3,1,20.0973,0.3891,1,0.0921,1,0.287,0.318,0.323,,,,,218.2117264,0.236700077,
20150823,M,M42,transplant.up,3500,Ligularia pleurocaulis,Ligularia_pleurocaulis,4,1,11.3005,0.2298,1,0.0613,1,0.25,0.288,0.247,,,,,184.3474715,0.266753699,
20150823,M,M42,transplant.up,3500,Ligularia pleurocaulis,Ligularia_pleurocaulis,5,1,12.034,0.241,1,0.0513,1,0.284,0.206,0.303,,,,,234.5808967,0.212863071,
20150823,M,M2OTC,warming,3500,Plantago asiatica,Plantago_asiatica,1,1,12.2605,0.2896,1,0.0386,1,0.811,0.606,,,,,,317.6295337,0.133287293,
20150823,M,M2OTC,warming,3500,Plantago asiatica,Plantago_asiatica,2,1,10.1291,0.202,1,0.0286,1,0.544,0.566,,,,,,354.1643357,0.141584158,
20150823,M,M2OTC,warming,3500,Plantago asiatica,Plantago_asiatica,3,1,20.7119,0.4755,1,0.0513,1,0.57,0.812,0.726,,,,,403.7407407,0.107886435,
20150823,M,M2OTC,warming,3500,Plantago asiatica,Plantago_asiatica,4,1,10.9264,0.2242,1,0.026,1,0.678,0.788,0.686,,,,,420.2461538,0.115967886,
20150823,M,M2OTC,warming,3500,Plantago asiatica,Plantago_asiatica,5,1,5.9932,0.1062,1,0.0166,1,0.658,0.399,0.489,,,,,361.0361446,0.156308851,
20150823,M,M3C,control,3500,Plantago asiatica,Plantago_asiatica,1,1,4.7233,0.074,2,0.0139,1,0.253,,,,,,,339.8057554,0.187837838,
20150823,M,M3C,control,3500,Plantago asiatica,Plantago_asiatica,2,1,4.914,0.08,2,0.0156,1,0.447,,,,,,,315,0.195,
20150823,M,M3C,control,3500,Plantago asiatica,Plantago_asiatica,3,1,5.774,0.138,2,0.017,1,0.357,,,,,,,339.6470588,0.123188406,
20150823,M,M3C,control,3500,Plantago asiatica,Plantago_asiatica,4,1,4.2897,0.079,2,0.0149,1,0.307,,,,,,,287.8993289,0.188607595,
20150823,M,M2OTC,warming,3500,Poaceae sp1,Poacae_sp1,1,1,36.3469,0.547,1,0.2184,1,0.199,0.204,0.239,,,,,166.4235348,0.399268739,
20150823,M,M2OTC,warming,3500,Poaceae sp1,Poacae_sp1,2,1,40.1959,0.5582,1,0.2173,1,0.597,0.395,0.322,,,,,184.9788311,0.389286994,
20150823,M,M2OTC,warming,3500,Poaceae sp1,Poacae_sp1,3,1,26.8063,0.4981,1,0.2074,1,0.386,0.447,0.383,,,,,129.2492768,0.416382253,
20150823,M,M2OTC,warming,3500,Poaceae sp1,Poacae_sp1,4,1,30.4462,0.3984,1,0.1654,1,0.267,0.333,0.302,,,,,184.076179,0.415160643,
20150823,M,M2OTC,warming,3500,Poaceae sp1,Poacae_sp1,5,1,23.9065,0.3289,1,0.1444,1,0.246,0.307,0.225,,,,,165.5574792,0.439039222,
20150823,M,M32,transplant.up,3500,Poaceae sp1,Poacae_sp1,1,1,6.8583,0.193,2,0.1161,1,0.249,0.301,0.216,,,,,59.07235142,0.601554404,
20150823,M,M32,transplant.up,3500,Poaceae sp1,Poacae_sp1,2,1,10.4866,0.246,2,0.1103,1,0.457,0.352,0.254,,,,,95.07343608,0.448373984,
20150823,M,M32,transplant.up,3500,Poaceae sp1,Poacae_sp1,3,1,12.0665,0.312,2,0.1153,1,0.258,0.286,0.309,,,,,104.6530789,0.369551282,
20150823,M,M32,transplant.up,3500,Poaceae sp1,Poacae_sp1,4,1,7.5201,0.242,2,0.0781,1,0.268,0.258,0.317,,,,,96.28809219,0.322727273,
20150823,M,M32,transplant.up,3500,Poaceae sp1,Poacae_sp1,5,1,2.963,0.068,2,0.0353,1,0.345,0.335,0.292,,,,,83.93767705,0.519117647,
20150823,M,M42,transplant.up,3500,Poaceae sp1,Poacae_sp1,1,1,12.5038,0.134,1,0.0649,1,0.172,0.152,0.135,,,,,192.6625578,0.484328358,
20150823,M,M42,transplant.up,3500,Poaceae sp1,Poacae_sp1,2,1,12.8235,0.1955,1,0.0751,1,0.21,0.157,0.173,,,,,170.7523302,0.384143223,
20150823,M,M42,transplant.up,3500,Poaceae sp1,Poacae_sp1,3,1,18.0264,0.2817,1,0.1035,1,0.22,0.215,0.198,,,,,174.1681159,0.367412141,
20150823,M,M42,transplant.up,3500,Poaceae sp1,Poacae_sp1,4,1,15.0562,0.247,1,0.0897,1,0.276,0.268,0.17,0.231,,,,167.8506132,0.363157895,
20150823,M,M42,transplant.up,3500,Poaceae sp1,Poacae_sp1,5,1,8.417,0.1409,1,0.0527,1,0.191,0.169,0.199,0.163,,,,159.71537,0.374024131,
20150823,M,M1OTC,warming,3500,Poaceae sp1,Poaceae_sp1,1,1,22.9253,0.4539,1,0.1605,1,0.434,0.293,0.221,,,,,142.8367601,0.353602115,
20150823,M,M1OTC,warming,3500,Poaceae sp1,Poaceae_sp1,3,1,21.6226,0.509,1,0.1942,1,0.459,0.834,0.363,,,,,111.3419156,0.381532417,
20150823,M,M2OTC,warming,3500,Poaceae sp1,Poaceae_sp1,4,1,26.0904,,,NA,,,,,,,,,,,
20150823,M,M3C,control,3500,Poaceae sp1,Poaceae_sp1,1,1,13.5357,0.175,2,0.0685,1,0.221,0.288,,,,,,197.6014599,0.391428571,
20150823,M,M3C,control,3500,Poaceae sp1,Poaceae_sp1,5,1,14.8031,0.224,2,0.0851,1,0.313,0.22,,,,,,173.9494712,0.379910714,
20150823,M,M5OTC,warming,3500,Poaceae sp1,Poaceae_sp1,1,1,21.8421,0.0001,1,0.3577,1,1.439,0.423,0.47,0.388,,,,61.06262231,3577,
20150823,M,M5OTC,warming,3500,Poaceae sp1,Poaceae_sp1,2,1,22.1017,0.0001,1,0.409,1,1.469,0.497,0.454,0.37,,,,54.03838631,4090,
20150823,M,M5OTC,warming,3500,Poaceae sp1,Poaceae_sp1,3,1,21.702,0.0001,1,0.493,1,2.242,0.322,0.326,0.379,,,,44.02028398,4930,
20150823,M,M5OTC,warming,3500,Poaceae sp1,Poaceae_sp1,4,1,21.3468,0.0001,1,0.379,1,1.807,0.316,0.327,0.409,,,,56.32401055,3790,
20150823,M,M5OTC,warming,3500,Poaceae sp1,Poaceae_sp1,5,1,23.3748,0.0001,1,0.411,1,1.915,0.426,0.543,0.333,,,,56.8729927,4110,
20150823,M,M62,transplant.up,3500,Poaceae sp1,Poaceae_sp1,1,1,28.6237,0.0002,1,0.499,1,2.118,0.351,0.386,0.285,,,,57.36212425,2495,
20150823,M,M62,transplant.up,3500,Poaceae sp1,Poaceae_sp1,2,1,6.8343,0.0002,1,0.13,1,0.506,0.242,0.203,0.296,,,,52.57153846,650,
20150823,M,M62,transplant.up,3500,Poaceae sp1,Poaceae_sp1,3,1,20.4992,0.0001,1,0.4182,1,1.835,0.492,0.723,0.257,,,,49.01769488,4182,
20150823,M,M6OTC,warming,3500,Poaceae sp1,Poaceae_sp1,1,1,11.3646,0.2914,1,0.1174,1,0.27,0.295,0.252,,,,,96.80238501,0.402882636,
20150823,M,M6OTC,warming,3500,Poaceae sp1,Poaceae_sp1,2,1,10.8924,0.206,1,0.0795,1,0.318,0.306,0.296,,,,,137.0113208,0.38592233,
20150823,M,M6OTC,warming,3500,Poaceae sp1,Poaceae_sp1,3,1,9.5453,0.1079,1,0.0411,1,0.325,0.431,0.331,,,,,232.2457421,0.380908248,
20150823,M,M6OTC,warming,3500,Poaceae sp1,Poaceae_sp1,4,1,21.7822,0.408,1,0.1487,1,0.378,0.337,0.277,,,,,146.4841964,0.364460784,
20150823,M,M6OTC,warming,3500,Poaceae sp1,Poaceae_sp1,5,1,34.2276,0.577,1,0.2311,1,0.46,0.456,0.221,,,,,148.1073129,0.400519931,
20150820,M,M7C,control,3500,Poaceae sp1,Poaceae_sp1,1,1,9.7174,0.0001,1,0.1745,1,0.823,0.189,0.185,0.2,0.164,,,55.68710602,1745,
20150820,M,M7C,control,3500,Poaceae sp1,Poaceae_sp1,2,1,15.3975,0.0001,1,0.226,1,0.963,0.232,0.226,0.249,,,,68.13053097,2260,
20150820,M,M7C,control,3500,Poaceae sp1,Poaceae_sp1,3,1,16.857,0.0001,1,0.186,1,0.836,0.249,0.186,0.174,,,,90.62903226,1860,
