Date,Site,Elevation,Taxon_TNRS_corrected,Taxon_written_on_envelopes,Individual_Number,Leaf_Number,Leaf_Area_cm2,Wet_Mass_g,Wet_Mass_WeighingScale,Dry_Mass_g,Dry_Mass_WeighingScale,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Leaf_Thickness_4_mm,Leaf_Thickness_5_mm,Leaf_Thickness_6_mm,Leaf_Thickness_Ave_mm,SLA_cm2-g,LDMC,notes
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,1,1,26.3602,0.7162,1,0.0864,1,1.383,0.97,0.861,1.044,1.88,,,305.0949074,0.120636694,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,1,2,38.1445,0.9838,1,0.1275,1,2.045,1.122,1.259,0.82,0.95,,,299.172549,0.129599512,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,1,3,45.6341,1.1963,1,0.1794,1,0.548,1.042,0.298,0.443,2.958,,,254.37068,0.149962384,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,1,4,32.1936,0.7633,1,0.1234,1,1.099,0.844,0.559,0.734,0.773,,,260.8881686,0.161666448,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,2,1,16.8568,0.2701,1,0.0678,1,0.93,0.599,0.872,0.412,0.306,,,248.6253687,0.251018141,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,2,2,15.4677,0.2288,1,0.0693,1,1.438,0.783,0.682,0.416,0.83,,,223.1991342,0.302884615,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,2,3,10.5716,0.139,1,0.0496,1,0.861,1.442,0.555,0.535,0.89,,,213.1370968,0.356834532,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,2,4,9.5727,0.1233,1,0.0503,1,1.124,0.711,0.55,0.504,0.71,,,190.3121272,0.407948094,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,2,5,7.8565,0.1183,1,0.0403,1,0.954,0.391,0.732,0.681,0.247,,,194.9503722,0.340659341,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,3,1,4.6804,0.0997,1,0.0331,1,1.475,0.729,0.684,0.912,0.536,,,141.4018127,0.331995988,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,3,2,5.8819,0.0888,1,0.0385,1,0.845,0.754,0.344,0.484,0.369,,,152.7766234,0.433558559,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,3,3,6.2915,0.1095,1,0.0475,1,0.991,0.485,0.601,,,,,132.4526316,0.433789954,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,3,4,3.3565,0.0554,1,0.0247,1,0.565,0.612,0.404,,,,,135.8906883,0.445848375,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,3,5,3.555,0.0558,1,0.0259,1,0.897,0.831,0.412,0.741,0.819,,,137.2586873,0.464157706,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,4,1,7.1241,0.1065,1,0.0331,1,0.403,0.4,0.539,,,,,215.2296073,0.310798122,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,4,2,13.3856,0.178,1,0.0688,1,0.384,,,,,,,194.5581395,0.386516854,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,4,3,25.1707,0.3037,1,0.1315,1,0.288,0.769,0.295,0.301,0.798,,,191.4121673,0.432993085,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,4,4,27.829,0.2795,1,0.1279,1,0.564,0.32,0.42,0.658,,,,217.58405,0.457602862,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,5,1,2.9366,0.0229,1,0.0175,1,0.363,0.574,0.436,,,,,167.8057143,0.76419214,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,5,2,3.4702,0.0259,1,0.018,1,0.391,0.431,,,,,,192.7888889,0.694980695,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,5,3,4.7847,0.0434,1,0.032,1,0.425,0.405,,,,,,149.521875,0.737327189,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,5,4,6.0757,0.049,1,0.0382,1,0.42,0.308,,,,,,159.0497382,0.779591837,
20150820,L,3000,Anaphalis flavescens,Alaphanis_Flavescens,5,5,6.8169,0.0627,1,0.043,1,0.338,0.294,,,,,,158.5325581,0.685805423,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,1,1,2.18,0.0069,1,0.0032,1,0.2,0.178,0.224,,,,,681.25,0.463768116,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,1,2,2.7205,0.0133,1,0.0121,1,0.303,0.22,0.227,,,,,224.8347107,0.909774436,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,1,3,2.7421,0.0108,1,0.0105,1,0.183,0.189,0.259,,,,,261.152381,0.972222222,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,1,4,2.3586,0.0135,1,0.0087,1,0.207,0.193,0.211,,,,,271.1034483,0.644444444,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,1,5,2.2529,0.013,1,0.008,1,0.183,0.173,0.197,,,,,281.6125,0.615384615,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,2,1,1.4254,0.0042,1,0.0032,1,0.209,0.246,0.269,,,,,445.4375,0.761904762,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,2,2,1.0391,0.0044,1,0.0017,1,0.208,0.183,0.173,,,,,611.2352941,0.386363636,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,2,3,0.8055,0.0026,1,0.0016,3,0.154,0.152,0.166,,,,,503.4375,0.615384615,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,2,4,1.1254,0.0052,1,0.003,3,0.307,0.265,0.207,,,,,375.1333333,0.576923077,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,2,5,1.3997,0.008,1,0.0038,3,0.342,0.196,0.26,,,,,368.3421053,0.475,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,3,1,2.0996,0.0203,1,0.0092,3,0.298,0.267,0.274,,,,,228.2173913,0.45320197,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,3,2,1.852,0.014,1,0.0049,3,0.217,0.208,0.231,,,,,377.9591837,0.35,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,3,3,3.555,0.0255,1,0.0147,3,0.255,0.161,0.353,,,,,241.8367347,0.576470588,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,3,4,2.0962,0.0285,1,0.0098,3,0.385,0.316,0.335,,,,,213.8979592,0.343859649,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,3,5,3.5001,0.0392,1,0.0156,3,0.299,0.234,0.285,,,,,224.3653846,0.397959184,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,4,1,3.8931,0.0174,1,0.0122,3,0.167,0.229,0.226,,,,,319.1065574,0.701149425,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,4,2,3.5664,0.0191,1,0.016,3,0.3,0.361,0.294,,,,,222.9,0.837696335,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,4,3,2.5006,0.0135,1,0.0086,3,0.25,0.314,0.335,,,,,290.7674419,0.637037037,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,4,4,3.9861,0.0201,1,0.0137,3,0.285,0.229,0.34,,,,,290.9562044,0.68159204,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,4,5,1.426,0.0087,1,0.0033,3,0.206,0.204,0.172,,,,,432.1212121,0.379310345,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,5,1,2.3786,0.0204,1,0.0147,3,0.43,0.38,0.389,,,,,161.8095238,0.720588235,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,5,2,1.0875,0.0065,1,0.0037,3,0.273,0.257,0.181,,,,,293.9189189,0.569230769,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,5,3,1.6321,0.0102,1,0.0067,3,0.301,0.252,0.269,,,,,243.5970149,0.656862745,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,5,4,0.9774,0.0067,1,0.0031,3,0.25,0.208,0.299,,,,,315.2903226,0.462686567,
20150820,L,3000,Anaphalis nepalensis,Anaphalis_nepalensis,5,5,1.5902,0.0172,1,0.0047,3,0.187,0.207,0.257,,,,,338.3404255,0.273255814,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,1,1,18.9729,0.1814,1,0.1281,1,0.209,0.198,0.268,0.329,0.246,,,148.1100703,0.706174201,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,1,2,20.3664,0.1954,1,0.1238,1,0.183,0.208,0.378,0.266,0.305,,,164.5105008,0.63357216,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,1,3,7.7314,0.1311,1,0.0686,1,0.313,0.345,0.308,0.316,,,,112.7026239,0.523264683,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,1,4,6.3732,0.0525,1,0.0348,1,0.154,0.235,0.197,0.192,,,,183.137931,0.662857143,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,1,5,1.4003,0.0118,1,0.0042,1,0.181,0.188,,,,,,333.4047619,0.355932203,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,2,1,17.6101,0.1248,1,0.0716,1,0.306,0.39,0.283,0.215,,,,245.9511173,0.573717949,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,2,2,7.786,0.0747,1,0.0327,1,0.261,0.353,0.289,0.238,,,,238.1039755,0.437751004,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,2,3,3.3613,0.0218,1,0.013,1,0.369,0.208,,,,,,258.5615385,0.596330275,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,3,1,22.4904,0.267,1,0.1559,1,0.339,0.458,0.419,0.306,0.385,,,144.2617062,0.583895131,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,3,2,10.8236,0.1248,1,0.0691,1,0.335,0.358,0.246,0.339,,,,156.6367583,0.553685897,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,3,3,14.4309,0.1711,1,0.0885,1,0.202,0.395,0.356,0.271,,,,163.0610169,0.517241379,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,4,1,11.0957,0.0846,1,0.0564,1,0.102,0.272,0.235,,,,,196.7322695,0.666666667,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,4,2,5.1985,0.0451,1,0.0258,1,0.277,0.173,,,,,,201.4922481,0.572062084,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,4,3,6.6186,0.0553,1,0.0349,1,0.299,0.501,0.319,,,,,189.6446991,0.631103074,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,4,4,3.6092,0.0296,1,0.0188,1,0.303,0.364,0.468,,,,,191.9787234,0.635135135,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,5,1,12.313,0.1178,1,0.0645,1,0.355,0.268,0.374,,,,,190.8992248,0.5475382,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,5,2,5.4533,0.0351,1,0.0236,1,0.215,0.219,,,,,,231.0720339,0.672364672,
20150820,L,3000,Anemone rivularis,Anemone_rivularis,5,3,0.954,0.0051,1,0.0032,1,0.175,,,,,,,298.125,0.62745098,
20150820,L,3000,Arisaema sp1,Arisima,1,1,223.0385,6.9272,1,1.0339,1,5.621,3.557,0.322,0.36,1.116,,,215.7254086,0.149252223,
20150820,L,3000,Arisaema sp1,Arisima,1,2,147.3216,5.279,1,0.7726,1,4.56,1.493,1.519,0.533,0.278,,,190.6828889,0.146353476,
20150820,L,3000,Arisaema sp1,Arisima,1,3,205.113,6.6344,1,0.9772,1,4.55,2.139,0.353,0.355,0.434,,,209.8986901,0.147292898,
20150820,L,3000,Arisaema sp1,Arisima,2,1,235.6548,6.8762,1,1.0188,1,4.19,1.754,0.562,0.38,0.348,,,231.3062426,0.14816323,
20150820,L,3000,Arisaema sp1,Arisima,2,2,220.7775,6.6312,1,0.9639,1,4.368,2.815,0.514,0.491,0.588,,,229.0460629,0.145358306,
20150820,L,3000,Arisaema sp1,Arisima,2,3,159.6992,5.3291,1,0.7639,1,4.788,1.827,1.865,0.354,0.343,,,209.0577301,0.14334503,
20150820,L,3000,Arisaema sp1,Arisima,3,1,110.1849,3.2675,1,0.4517,1,3.599,1.314,0.379,0.444,0.415,,,243.9338056,0.138240245,
20150820,L,3000,Arisaema sp1,Arisima,3,2,67.5945,2.0892,1,0.2778,1,0.43,0.809,1.011,0.57,0.312,,,243.3207343,0.132969558,
20150820,L,3000,Arisaema sp1,Arisima,3,3,97.0295,2.7889,1,0.411,1,2.919,1.494,0.378,0.49,0.253,,,236.0815085,0.147369931,
20150820,L,3000,Arisaema sp1,Arisima,4,1,49.4337,1.1153,1,0.1834,1,0.749,0.794,0.215,0.348,0.221,,,269.540349,0.164440061,
20150820,L,3000,Arisaema sp1,Arisima,4,2,56.6685,1.2008,1,0.202,1,0.275,0.944,0.49,0.253,0.25,,,280.5371287,0.168221186,
20150820,L,3000,Arisaema sp1,Arisima,4,3,60.6583,1.2395,1,0.2222,1,2.864,1.502,0.25,0.238,0.172,,,272.989649,0.179265833,
20150820,L,3000,Arisaema sp1,Arisima,5,1,37.2522,0.6617,1,0.0939,1,2.283,1.393,0.41,0.285,0.834,,,396.7220447,0.141907209,
