wrongName,correctName
Rhodiola yunnensis,Rhodiola yunnanensis
Rhodiola fastidiola,Rhodiola fastigiata
Polygonum runcitum,Polygonum runcinatum
Pedicularis mussotti var. lophocentra,Pedicularis mussotii var. lophocentra
Notholirion bulbifera,Notholirion bulbuliferum
Juncus setchuenensis,Juncus setchuensis
Juncus alloides,Juncus allioides
Glyceria tongolensis,Glyceria tonglensis
Codonopsis foetens subsp. Nervosa,Codonopsis foetens subsp. nervosa
Astragalus skythropes,Astragalus skythropos
Ajaunia tenuifolia,Ajania tenuifolia
Pedicularis siphontha,Pedicularis siphonantha
Cyanthus inflatus,Cyananthus inflatus
Polygonum cyandrum,Polygonum cyanandrum
Youngia racimifera,Youngia racemifera
Viola szechuanensis,Viola szetschwanensis
Carex fetinata,Carex finitima
Elshortzia spp,Elsholtzia sp
Carex glomerata,Carex agglomerata
Carex rubigella,Carex nubigena
#
#from TPL and check
Athyrium davidii,Pseudocystopteris davidii	
Deyeuxia scabrescens,Calamagrostis scabrescens	
Polygonum viviparum,Persicaria vivipara	
Ranunculus tanguticus,Ranunculus brotherusii var. tanguticus	
Alteris paucifloa,Aletris pauciflora
Veronica fangii,Epilobium fangii
Arenaria pogontha,Arenaria pogonantha
Cyanthus incans,Cyananthus incanus
Pentarhizidium intermedium,Matteuccia intermedia
Prenanthes macrophylla,Nabalus tatarinowii	
Smilacina henryi,Maianthemum henryi	
Carex nubige,Carex nubigena
Deyeuxia pulchella,Calamagrostis lahulensis	
Neottianthe calcicola,Neottianthe cucullata var. calcicola	
Phlomis medicinalis,Phlomoides medicinalis	
Tanacetum tatsienense,Pyrethrum tatsienense	
Ligularia fischerii,Ligularia fischeri
Neottianthe cucullata var. Camcola,Neottianthe cucullata var. calcicola	
#Potentilla fruticosa	check unresolved accepted	NA	#tricky
Deyeuxia nivicola,Calamagrostis nivicola	
